Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts,Component Link,Open Hub URL
,e63c8939-545c-4de0-9a1b-e850d1406d7a,4abf104c-6e71-42f8-ac73-94de30f94fce,Equinox Provisioning Eclipse Touchpoint,2.1.200,2.1.200.v20140512-1650,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.touchpoint.eclipse/2.1.200.v20140512-1650,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/27/13,17,,,,,,,,c82305f2-a859-48df-a528-173f5e825e1a,false,,
,780b88c3-db80-48ac-afad-5e8da0d5035b,92d1aed8-2d3d-423e-ab04-d68762581375,Equinox Provisioning Platform Automatic Update Support,1.2.200,1.2.200.v20160504-1450,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.ui.sdk.scheduler/1.2.200.v20160504-1450,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/4/16,14,,,,,,,,a512ec2b-bdcd-4097-a97a-2ad38e9dd94a,false,,
,ad208811-6791-4bcc-8bb2-81cf358afde2,bedeb809-e029-46f4-968f-e3c37741d369,Equinox Provisioning Platform Update Support,1.0.300,1.0.300.v20140407-1803,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.ui.sdk/1.0.300.v20140407-1803,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/3/13,13,,,,,,,,d0d98dec-ae1d-4c88-ba89-0a16d3e84f3b,false,,
,02d6e426-fd90-4df5-93fa-9f0eb0c8472a,33b22110-3be2-45ac-8961-9a87ff8fe0c4,Equinox Provisioning UI Support,2.3.0,2.3.0.v20140404-1657,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.ui/2.3.0.v20140404-1657,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/28/13,20,,,,,,,,dc71059e-6a0e-4ce9-ac75-2695da788cc2,false,,
,9401eddd-8ce6-47e0-b551-7c204e5a5863,4f8ffcf1-b335-4b98-84df-6e088b84277f,Equinox Provisioning Update Checker,2.4.0,2.4.0.v20131119-0908,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.operations/2.4.0.v20131119-0908,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11/19/13,16,,,,,,,,feb5ed3e-3cf5-43e3-9c94-1c005f4ff7fc,false,,
,fda3f990-d5ee-4c9a-bbd1-b627421508b4,702f1609-e30f-4e8b-8a28-7220779a00a1,Equinox Security Default UI,1.1.200,1.1.200.v20130626-2037,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.security.ui/1.1.200.v20130626-2037,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/26/13,14,,,,,,,,929cc009-0f1e-47e6-aa95-4b0a90e799be,false,,
,8d73e8ba-5ef1-4c56-baea-b5d25b2d7cff,6d0c1d5a-97b5-42d5-8ce1-3ff52b8c56e9,Equinox p2 RCP Management Facilities,1.2.0,1.2.0.v20140523-0116,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.p2.rcp.feature.feature.jar/1.2.0.v20140523-0116,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/4/13,25,,,,,,,,0175e600-250c-4920-a858-f28ecd7d8724,false,,
,646e30c9-13cc-423e-aca7-6530426b2ff2,ac1bbb3b-a32d-44d2-b0a4-8787a7a58e15,Event Admin,1.3.0,1.3.0.v20130327-1442,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,eclipse,org.eclipse.equinox.event/1.3.0.v20130327-1442,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,1,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/27/13,13,,,,,,,,7b39f9a8-af9d-4aca-977b-de1f13c8fc69,false,,
,2274634b-499b-480e-a46a-a38959b3eaaf,b57393b3-b662-4fa3-a5ab-53488b14c395,Help System UI,4.0.200,4.0.200,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,HIGH,In Violation,,12/8/22,maven,org.eclipse.platform:org.eclipse.help.ui:4.0.200,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,2,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/30/17,18,,,,,,,,925afe63-35f0-4f1d-a2c1-41d4c88aa5de,false,http://www.eclipse.org/platform,
,b68bdf45-dddf-4087-b39f-a9608609ed36,ef53b866-ab0e-4f42-bd64-5ccfb942a6fe,Help System Webapp,3.6.101-v20120717-130216,3.6.101-v20120717-130216,d676a5c4-0bd9-4453-8c22-2ece2c2a00d7,Eclipse Public License 1.0,WEAK_RECIPROCAL,Exact,,DYNAMICALLY_LINKED,true,OK,In Violation,,12/8/22,maven,org.eclipse.help:webapp:3.6.101-v20120717-130216,NOT_REVIEWED,,,ORACLE-JAVA-192 1.0,KB_COMPONENT,,3,MEDIUM,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/19/13,0,,,,,,,,368c704f-6e75-4b92-900b-cb973d115fe5,false,http://repo1.maven.org/maven2/org/eclipse/help/webapp/,
